1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
275;Rheden;5; 11.135.659 ; 10.838.772 ; 16.829.548 ; 22.521.582 ; 17.266.457 ; 6.778.906 ; 6.334.364 ; 11.717.711 ; 12.579.524 ; 2.604.408 ; -7.774.415 ; -10.597.662 ; 100.234.854 
277;Rozendaal;5; 413.442 ; 62.399 ; 299.987 ; 299.327 ; 1.449.061 ; 303.212 ; 730.368 ; 413.814 ; 1.284.797 ; -279.379 ; -326.020 ; -515.247 ; 4.135.761 
279;Scherpenzeel;5; 2.376.012 ; 1.133.299 ; 2.507.960 ; 3.924.872 ; 4.624.384 ; 1.266.563 ; 1.296.748 ; 2.615.877 ; 3.264.977 ; 455.831 ; -1.871.421 ; -2.482.096 ; 19.113.005 
281;Tiel;5; 12.635.081 ; 11.982.168 ; 13.971.736 ; 23.634.236 ; 16.500.413 ; 6.892.108 ; 8.875.262 ; 15.019.869 ; 13.083.470 ; -00 ; -7.560.087 ; -11.724.047 ; 103.310.209 
285;Voorst;5; 5.867.528 ; 3.541.406 ; 7.390.927 ; 9.963.626 ; 10.193.550 ; 3.165.500 ; 4.167.208 ; 6.494.133 ; 10.404.279 ; -00 ; -4.539.959 ; -7.342.951 ; 49.305.248 
289;Wageningen;5; 12.963.253 ; 7.653.160 ; 12.609.908 ; 16.661.874 ; 16.963.165 ; 6.993.470 ; 5.600.379 ; 14.930.325 ; 10.978.490 ; -25.381 ; -7.598.265 ; -11.632.419 ; 86.097.959 
1960;West Betuwe;5; 12.184.403 ; 6.096.673 ; 12.848.397 ; 18.983.694 ; 20.076.797 ; 6.890.954 ; 7.143.328 ; 13.959.060 ; 21.181.921 ; -00 ; -9.456.191 ; -15.286.278 ; 94.622.759 
668;West Maas en Waal;5; 4.573.512 ; 2.688.471 ; 5.386.875 ; 8.658.891 ; 8.316.251 ; 2.859.660 ; 2.505.624 ; 4.991.696 ; 9.229.286 ; -1.035.310 ; -3.656.898 ; -5.372.685 ; 39.145.373 
293;Westervoort;5; 3.821.540 ; 3.766.853 ; 3.874.731 ; 7.726.709 ; 6.398.405 ; 2.179.756 ; 1.958.015 ; 4.010.234 ; 3.641.853 ; 1.697.324 ; -2.699.968 ; -2.788.032 ; 33.587.419 
296;Wijchen;5; 10.927.851 ; 7.957.064 ; 12.832.346 ; 18.997.763 ; 16.243.807 ; 5.477.322 ; 5.798.080 ; 13.342.512 ; 13.341.079 ; -00 ; -7.428.862 ; -11.707.025 ; 85.781.937 
294;Winterswijk;5; 8.062.552 ; 6.792.166 ; 11.523.132 ; 15.839.696 ; 11.730.519 ; 4.083.193 ; 4.912.560 ; 9.775.412 ; 11.797.118 ; -1.809.570 ; -5.190.757 ; -7.494.855 ; 70.021.167 
297;Zaltbommel;5; 7.047.165 ; 4.325.689 ; 7.026.815 ; 12.713.429 ; 11.832.805 ; 4.372.274 ; 5.697.754 ; 8.229.868 ; 12.346.489 ; -00 ; -5.400.291 ; -8.672.324 ; 59.519.675 
299;Zevenaar;5; 11.400.359 ; 9.891.759 ; 16.504.080 ; 24.423.446 ; 17.554.121 ; 6.432.549 ; 6.557.903 ; 13.309.747 ; 14.464.765 ; -00 ; -8.028.875 ; -11.711.430 ; 100.798.424 
301;Zutphen;5; 14.476.159 ; 15.402.604 ; 18.702.401 ; 28.425.861 ; 19.234.504 ; 7.574.394 ; 9.375.325 ; 19.061.579 ; 13.827.419 ; 3.549.649 ; -8.705.953 ; -12.362.219 ; 128.561.722 
307;Amersfoort;6; 53.684.543 ; 36.030.762 ; 41.848.804 ; 72.827.897 ; 61.476.319 ; 27.419.112 ; 32.840.949 ; 67.790.470 ; 42.492.213 ; -00 ; -28.996.996 ; -48.229.400 ; 359.184.673 
308;Baarn;6; 6.478.617 ; 4.052.197 ; 7.885.101 ; 8.866.740 ; 10.320.233 ; 3.845.359 ; 3.596.148 ; 6.783.919 ; 7.429.010 ; 2.783.599 ; -4.471.949 ; -7.567.361 ; 50.001.613 
312;Bunnik;6; 3.628.961 ; 1.527.757 ; 3.035.600 ; 3.740.030 ; 6.725.764 ; 2.124.150 ; 1.795.608 ; 3.746.661 ; 4.754.992 ; 827.492 ; -2.890.679 ; -4.946.580 ; 24.069.755 
313;Bunschoten;6; 5.444.746 ; 2.495.752 ; 4.793.752 ; 8.043.462 ; 9.016.830 ; 2.762.846 ; 3.091.493 ; 6.097.896 ; 6.536.251 ; -00 ; -4.028.022 ; -6.550.906 ; 37.704.100 
310;De Bilt;6; 11.030.315 ; 6.333.238 ; 12.447.832 ; 15.046.311 ; 17.077.252 ; 6.469.655 ; 7.483.123 ; 11.613.520 ; 12.380.940 ; 482.022 ; -7.776.191 ; -14.383.642 ; 78.204.375 
736;De Ronde Venen;6; 11.003.643 ; 5.207.070 ; 10.945.222 ; 14.870.961 ; 17.626.765 ; 6.497.572 ; 5.963.177 ; 11.236.676 ; 20.704.488 ; -302.480 ; -8.154.240 ; -14.711.206 ; 80.887.648 
317;Eemnes;6; 2.316.040 ; 1.034.617 ; 1.964.890 ; 2.847.529 ; 4.435.761 ; 1.362.650 ; 1.127.929 ; 2.368.336 ; 3.377.024 ; 612.524 ; -1.762.748 ; -3.044.568 ; 16.639.985 
321;Houten;6; 13.732.994 ; 6.139.009 ; 8.554.333 ; 15.951.424 ; 19.470.676 ; 6.874.952 ; 7.804.009 ; 15.774.996 ; 14.725.600 ; 3.307.035 ; -9.046.357 ; -15.387.252 ; 87.901.418 
353;IJsselstein;6; 9.027.468 ; 5.607.443 ; 7.722.711 ; 11.891.595 ; 13.095.750 ; 5.057.717 ; 4.852.730 ; 9.682.320 ; 9.346.943 ; 2.680.270 ; -5.920.041 ; -8.387.573 ; 64.657.332 
327;Leusden;6; 7.907.312 ; 3.892.349 ; 7.625.671 ; 10.206.681 ; 12.508.028 ; 4.125.359 ; 3.503.046 ; 8.915.074 ; 8.034.005 ; 1.136.091 ; -5.666.470 ; -8.954.445 ; 53.232.703 
331;Lopik;6; 3.296.477 ; 1.816.877 ; 3.130.106 ; 4.688.668 ; 6.145.502 ; 1.799.546 ; 1.891.701 ; 3.399.518 ; 8.253.240 ; -173.408 ; -2.628.051 ; -3.909.186 ; 27.710.989 
335;Montfoort;6; 3.068.709 ; 1.357.413 ; 3.148.222 ; 4.192.648 ; 5.808.270 ; 1.765.193 ; 1.620.122 ; 3.489.501 ; 5.347.781 ; -00 ; -2.445.508 ; -3.752.238 ; 23.600.113 
356;Nieuwegein;6; 20.479.589 ; 13.661.048 ; 19.308.363 ; 29.915.864 ; 25.766.588 ; 11.686.703 ; 11.430.767 ; 21.772.224 ; 19.491.967 ; 1.801.263 ; -11.859.615 ; -20.595.919 ; 142.858.842 
589;Oudewater;6; 2.316.018 ; 1.172.362 ; 2.766.638 ; 3.609.478 ; 4.591.037 ; 1.356.037 ; 1.200.053 ; 2.896.418 ; 5.671.269 ; -49.137 ; -1.838.748 ; -2.614.797 ; 21.076.628 
339;Renswoude;6; 1.238.582 ; 513.552 ; 910.312 ; 2.247.632 ; 2.865.111 ; 717.921 ; 790.245 ; 1.352.882 ; 2.472.067 ; -00 ; -1.026.716 ; -1.720.518 ; 10.361.071 
340;Rhenen;6; 4.854.780 ; 3.168.486 ; 5.891.066 ; 8.536.179 ; 8.235.621 ; 2.682.396 ; 2.694.688 ; 5.487.755 ; 6.397.387 ; -00 ; -3.621.029 ; -5.147.677 ; 39.179.653 
342;Soest;6; 12.907.387 ; 7.178.541 ; 14.027.252 ; 17.253.014 ; 18.577.359 ; 7.244.511 ; 7.053.382 ; 13.900.545 ; 12.403.308 ; 849.587 ; -8.523.233 ; -14.343.636 ; 88.528.018 
1904;Stichtse Vecht;6; 16.617.325 ; 8.121.892 ; 16.067.155 ; 23.220.241 ; 25.193.938 ; 9.672.035 ; 9.818.432 ; 17.264.766 ; 22.672.785 ; -00 ; -11.742.773 ; -18.656.342 ; 118.249.452 
344;Utrecht;6; 144.669.044 ; 94.208.345 ; 105.662.283 ; 165.655.529 ; 142.989.813 ; 77.075.802 ; 71.942.770 ; 185.447.484 ; 119.964.571 ; 2.951.059 ; -66.901.134 ; -132.725.280 ; 910.940.285 
1581;Utrechtse Heuvelrug;6; 12.429.968 ; 6.930.374 ; 15.307.290 ; 15.817.395 ; 19.790.556 ; 7.159.898 ; 7.237.191 ; 13.722.199 ; 14.156.304 ; 3.762.013 ; -9.046.357 ; -15.233.812 ; 92.033.018 
345;Veenendaal;6; 21.673.702 ; 13.448.147 ; 20.719.272 ; 34.828.145 ; 26.747.787 ; 10.944.170 ; 13.512.351 ; 25.876.386 ; 19.209.682 ; -00 ; -12.492.478 ; -18.795.932 ; 155.671.231 
1961;Vijfheerenlanden;6; 15.753.224 ; 9.201.644 ; 15.999.585 ; 25.966.908 ; 23.601.334 ; 8.928.946 ; 9.665.640 ; 17.190.829 ; 21.579.935 ; 1.913.907 ; -11.107.779 ; -16.056.413 ; 122.637.761 
352;Wijk bij Duurstede;6; 5.757.672 ; 3.104.821 ; 5.599.038 ; 8.439.634 ; 9.554.062 ; 3.205.179 ; 3.108.122 ; 6.769.889 ; 7.070.208 ; 1.008.609 ; -4.231.696 ; -5.763.019 ; 43.622.520 
632;Woerden;6; 13.858.800 ; 7.614.704 ; 12.610.402 ; 18.721.751 ; 20.602.187 ; 7.655.476 ; 9.543.986 ; 15.627.821 ; 22.990.708 ; 1.554.859 ; -9.584.575 ; -14.434.413 ; 106.761.705 
351;Woudenberg;6; 3.460.968 ; 1.402.484 ; 2.894.146 ; 4.774.165 ; 6.130.631 ; 1.787.645 ; 1.904.437 ; 3.772.012 ; 4.251.027 ; 1.059.284 ; -2.620.949 ; -3.790.142 ; 25.025.708 
355;Zeist;6; 18.975.555 ; 13.140.597 ; 19.666.179 ; 27.066.042 ; 25.691.252 ; 10.667.787 ; 14.546.771 ; 21.238.565 ; 15.854.687 ; 5.518.142 ; -11.838.839 ; -22.479.313 ; 138.047.424 
358;Aalsmeer;7; 8.045.207 ; 3.633.609 ; 7.680.822 ; 12.367.209 ; 12.884.018 ; 4.660.134 ; 3.977.206 ; 8.200.414 ; 14.395.881 ; -00 ; -5.904.237 ; -11.491.803 ; 58.448.458 
361;Alkmaar;7; 34.829.423 ; 28.387.508 ; 36.688.438 ; 56.470.505 ; 43.398.019 ; 19.533.637 ; 19.980.926 ; 42.358.638 ; 39.906.421 ; -00 ; -20.047.061 ; -35.446.875 ; 266.059.578 
362;Amstelveen;7; 31.239.156 ; 12.716.835 ; 24.473.581 ; 35.501.369 ; 36.655.816 ; 19.008.481 ; 16.879.190 ; 30.004.671 ; 30.565.969 ; -5.415.397 ; -17.015.213 ; -35.671.898 ; 178.942.562 
363;Amsterdam;7; 417.112.148 ; 341.607.911 ; 298.350.249 ; 427.172.241 ; 369.497.565 ; 271.371.285 ; 174.858.383 ; 484.748.594 ; 490.495.354 ; 111.035.263 ; -165.944.758 ; -375.580.010 ; 2.844.724.224 
373;Bergen (NH.);7; 6.747.703 ; 3.658.834 ; 12.495.623 ; 8.876.403 ; 12.426.860 ; 4.623.793 ; 3.440.699 ; 7.176.498 ; 9.934.547 ; 661.006 ; -5.277.767 ; -12.860.686 ; 51.903.515 
375;Beverwijk;7; 12.782.722 ; 9.961.213 ; 12.082.242 ; 19.597.795 ; 16.960.745 ; 7.862.136 ; 7.080.579 ; 13.468.278 ; 14.488.292 ; 3.148.939 ; -7.642.658 ; -12.211.954 ; 97.578.331 
376;Blaricum;7; 3.103.549 ; 1.141.107 ; 2.798.850 ; 3.212.882 ; 5.503.824 ; 1.913.875 ; 2.736.616 ; 3.004.032 ; 3.816.742 ; -00 ; -2.299.012 ; -5.107.000 ; 19.825.465 
377;Bloemendaal;7; 5.367.793 ; 2.204.527 ; 6.331.884 ; 5.097.285 ; 9.505.269 ; 3.164.745 ; 3.385.706 ; 5.449.859 ; 6.527.500 ; 781.537 ; -4.189.256 ; -9.578.469 ; 34.048.379 
383;Castricum;7; 8.681.894 ; 4.317.933 ; 10.427.390 ; 10.214.652 ; 14.365.610 ; 4.726.012 ; 4.931.939 ; 9.458.321 ; 10.180.583 ; 390.007 ; -6.502.297 ; -10.312.086 ; 60.879.956 
400;Den Helder;7; 16.735.030 ; 16.570.133 ; 23.303.835 ; 34.087.319 ; 22.472.587 ; 9.161.493 ; 9.679.630 ; 19.044.067 ; 18.515.536 ; 783.876 ; -10.061.531 ; -14.438.235 ; 145.853.742 
384;Diemen;7; 10.429.472 ; 4.588.953 ; 5.107.210 ; 9.147.867 ; 13.425.754 ; 7.085.483 ; 4.957.109 ; 8.177.207 ; 13.039.146 ; 2.947.759 ; -5.900.331 ; -11.180.612 ; 61.825.018 
1980;Dijk en Waard;7; 26.436.706 ; 14.732.082 ; 26.403.813 ; 37.942.729 ; 34.024.732 ; 12.413.235 ; 14.772.530 ; 32.781.546 ; 23.968.286 ; 1.770.348 ; -16.114.040 ; -23.713.042 ; 185.418.924 
498;Drechterland;7; 4.561.217 ; 2.554.673 ; 5.728.182 ; 7.803.588 ; 8.278.295 ; 2.596.148 ; 2.397.604 ; 4.913.662 ; 8.649.165 ; -00 ; -3.635.945 ; -4.774.197 ; 39.072.392 
385;Edam-Volendam;7; 9.058.060 ; 3.725.746 ; 10.036.458 ; 12.153.782 ; 14.450.503 ; 4.850.177 ; 4.881.219 ; 11.026.699 ; 15.810.376 ; -555.233 ; -6.594.989 ; -10.053.103 ; 68.789.693 
388;Enkhuizen;7; 4.860.517 ; 4.084.840 ; 6.301.017 ; 10.278.097 ; 7.828.511 ; 2.761.875 ; 2.974.015 ; 7.272.130 ; 8.601.835 ; -00 ; -3.346.681 ; -4.768.930 ; 46.847.226 
1942;Gooise Meren;7; 16.603.373 ; 8.448.200 ; 15.618.873 ; 21.239.337 ; 23.491.037 ; 9.495.384 ; 9.513.745 ; 19.266.418 ; 18.116.184 ; -00 ; -10.832.366 ; -19.295.938 ; 111.664.247 
392;Haarlem;7; 57.336.847 ; 34.932.410 ; 47.865.679 ; 73.540.847 ; 64.854.418 ; 33.196.903 ; 32.154.571 ; 70.512.410 ; 58.841.601 ; 1.102.261 ; -29.963.871 ; -58.021.537 ; 386.352.539 
394;Haarlemmermeer;7; 47.450.273 ; 21.991.140 ; 33.985.653 ; 55.827.345 ; 61.159.431 ; 26.984.148 ; 27.306.214 ; 48.714.683 ; 52.400.204 ; -00 ; -29.344.503 ; -56.027.217 ; 290.447.371 
396;Heemskerk;7; 11.090.404 ; 8.159.052 ; 12.763.807 ; 16.696.166 ; 15.499.587 ; 6.177.883 ; 7.796.166 ; 11.773.351 ; 10.871.476 ; 19.438 ; -6.992.748 ; -9.506.338 ; 84.348.243 
397;Heemstede;7; 6.891.300 ; 2.811.821 ; 8.439.490 ; 7.388.162 ; 11.112.179 ; 3.934.802 ; 3.831.339 ; 7.168.098 ; 7.419.308 ; 2.042.778 ; -4.907.709 ; -9.288.202 ; 46.843.365 
399;Heiloo;7; 5.970.823 ; 3.162.387 ; 7.822.857 ; 7.514.772 ; 9.829.122 ; 3.141.923 ; 2.388.906 ; 6.682.194 ; 6.691.200 ; -00 ; -4.322.257 ; -7.446.228 ; 41.435.699 
402;Hilversum;7; 29.908.200 ; 21.676.719 ; 28.515.554 ; 44.519.302 ; 36.225.771 ; 17.262.605 ; 19.457.436 ; 33.236.427 ; 27.354.106 ; -1.216.228 ; -16.761.464 ; -31.150.948 ; 209.027.480 
1911;Hollands Kroon;7; 11.397.778 ; 7.527.420 ; 14.677.326 ; 23.835.985 ; 19.089.890 ; 6.908.637 ; 7.216.594 ; 12.395.698 ; 23.273.184 ; -220.648 ; -8.875.356 ; -14.923.862 ; 102.302.646 
405;Hoorn;7; 23.072.136 ; 17.381.790 ; 24.547.581 ; 40.197.788 ; 29.064.407 ; 12.228.234 ; 15.640.751 ; 28.924.470 ; 24.509.558 ; -00 ; -13.501.792 ; -19.471.944 ; 182.592.980 
406;Huizen;7; 11.523.214 ; 7.348.297 ; 13.573.230 ; 17.613.163 ; 16.186.944 ; 6.518.881 ; 6.811.597 ; 12.579.386 ; 10.879.181 ; -00 ; -7.315.217 ; -11.124.568 ; 84.594.109 
1598;Koggenland;7; 5.227.273 ; 2.818.062 ; 5.724.006 ; 7.993.960 ; 9.465.531 ; 3.188.302 ; 2.640.010 ; 5.525.736 ; 10.516.560 ; -00 ; -4.229.920 ; -6.046.871 ; 42.822.650 
415;Landsmeer;7; 2.797.196 ; 1.372.415 ; 2.824.344 ; 3.905.691 ; 5.075.984 ; 1.655.283 ; 1.432.552 ; 2.691.520 ; 5.223.482 ; -00 ; -2.085.572 ; -3.240.673 ; 21.652.221 
417;Laren;7; 2.703.897 ; 1.115.889 ; 4.469.152 ; 2.625.865 ; 5.110.355 ; 1.716.183 ; 1.948.032 ; 2.769.859 ; 3.768.104 ; -00 ; -2.037.450 ; -5.550.363 ; 18.639.523 
420;Medemblik;7; 10.743.320 ; 7.105.986 ; 13.587.164 ; 20.785.261 ; 17.656.855 ; 6.104.286 ; 5.843.745 ; 12.970.940 ; 21.371.272 ; -00 ; -8.156.548 ; -12.879.612 ; 95.132.668 
431;Oostzaan;7; 2.253.408 ; 1.086.644 ; 2.313.418 ; 3.142.352 ; 4.348.661 ; 1.293.892 ; 1.060.763 ; 2.224.056 ; 5.043.761 ; -513.812 ; -1.728.299 ; -2.904.595 ; 17.620.250 
432;Opmeer;7; 2.824.165 ; 1.677.864 ; 3.514.625 ; 5.223.150 ; 5.356.293 ; 1.541.261 ; 1.444.878 ; 3.118.923 ; 5.439.418 ; -86.244 ; -2.218.040 ; -3.097.092 ; 24.739.202 
437;Ouder-Amstel;7; 3.691.303 ; 1.930.576 ; 2.978.286 ; 4.642.798 ; 6.137.371 ; 2.492.502 ; 2.177.805 ; 3.293.998 ; 6.436.293 ; -100.953 ; -2.580.462 ; -5.504.594 ; 25.594.924 
439;Purmerend;7; 29.347.497 ; 18.043.613 ; 29.667.578 ; 44.308.866 ; 36.500.587 ; 16.395.400 ; 16.405.190 ; 32.612.237 ; 27.993.986 ; 1.629.870 ; -17.031.194 ; -24.843.600 ; 211.030.031 
441;Schagen;7; 11.708.905 ; 6.498.216 ; 16.329.120 ; 19.783.166 ; 19.116.659 ; 7.073.492 ; 7.763.850 ; 13.444.210 ; 20.174.652 ; -00 ; -8.590.532 ; -12.964.885 ; 100.336.853 
532;Stede Broec;7; 5.654.456 ; 3.532.972 ; 7.932.507 ; 11.672.231 ; 8.939.024 ; 2.845.819 ; 4.199.866 ; 6.726.098 ; 7.651.770 ; -821.953 ; -3.951.488 ; -4.677.683 ; 49.703.619 
448;Texel;7; 3.526.197 ; 2.057.744 ; 5.749.737 ; 5.887.293 ; 6.520.146 ; 2.740.808 ; 2.238.670 ; 3.666.665 ; 10.096.793 ; 3.046.520 ; -2.458.649 ; -6.263.850 ; 36.808.076 
450;Uitgeest;7; 3.109.913 ; 1.727.910 ; 2.295.941 ; 4.060.562 ; 5.731.663 ; 1.709.715 ; 1.427.052 ; 3.253.503 ; 4.191.472 ; 247.269 ; -2.384.246 ; -3.435.799 ; 21.934.954 
451;Uithoorn;7; 8.811.056 ; 4.393.845 ; 6.963.461 ; 12.346.878 ; 12.579.819 ; 5.224.190 ; 5.960.435 ; 8.498.539 ; 11.972.924 ; 1.266.785 ; -5.702.694 ; -10.397.071 ; 61.918.168 
453;Velsen;7; 19.802.127 ; 14.643.238 ; 21.470.623 ; 32.021.951 ; 26.870.882 ; 10.513.420 ; 11.322.651 ; 22.915.001 ; 19.850.666 ; -00 ; -12.434.590 ; -21.186.955 ; 145.789.013 
852;Waterland;7; 3.958.726 ; 2.059.899 ; 5.138.003 ; 5.684.532 ; 7.215.856 ; 2.487.683 ; 2.032.329 ; 4.597.874 ; 7.873.356 ; -700.726 ; -3.117.437 ; -4.185.966 ; 33.044.129 
1696;Wijdemeren;7; 5.544.492 ; 2.414.137 ; 6.742.879 ; 7.324.028 ; 9.997.004 ; 3.494.496 ; 2.566.064 ; 5.706.361 ; 9.586.936 ; -519.781 ; -4.380.678 ; -8.370.577 ; 40.105.360 
880;Wormerland;7; 3.966.948 ; 2.644.542 ; 5.013.342 ; 6.722.354 ; 6.861.546 ; 2.423.616 ; 1.992.956 ; 3.868.325 ; 7.520.691 ; -00 ; -2.915.894 ; -4.406.354 ; 33.692.072 
479;Zaanstad;7; 53.164.986 ; 36.845.228 ; 51.040.903 ; 84.920.652 ; 61.168.152 ; 30.049.180 ; 31.574.241 ; 60.354.041 ; 55.625.244 ; -00 ; -28.913.538 ; -44.377.383 ; 391.451.706 
473;Zandvoort;7; 4.426.804 ; 3.977.593 ; 6.560.017 ; 7.678.112 ; 7.565.081 ; 3.162.355 ; 2.093.679 ; 4.266.610 ; 5.652.557 ; 678.977 ; -3.085.119 ; -5.929.823 ; 37.046.843 
482;Alblasserdam;8; 4.933.612 ; 4.189.507 ; 5.628.013 ; 9.659.701 ; 8.192.960 ; 2.794.679 ; 2.769.152 ; 5.136.184 ; 7.352.731 ; 430.235 ; -3.594.393 ; -5.541.045 ; 41.951.335 
613;Albrandswaard;8; 6.657.769 ; 4.136.982 ; 4.254.569 ; 7.347.435 ; 10.522.881 ; 3.778.965 ; 3.265.052 ; 6.366.469 ; 7.733.366 ; 1.500.583 ; -4.742.390 ; -6.863.179 ; 43.958.501 
484;Alphen aan den Rijn;8; 32.531.046 ; 19.049.636 ; 30.801.139 ; 46.393.317 ; 43.605.739 ; 17.472.344 ; 18.794.144 ; 36.899.510 ; 42.554.374 ; -00 ; -20.557.933 ; -31.699.539 ; 235.843.776 
489;Barendrecht;8; 13.739.329 ; 6.538.308 ; 10.387.620 ; 15.736.261 ; 18.483.151 ; 7.576.544 ; 9.912.226 ; 13.902.019 ; 17.353.887 ; -00 ; -8.621.074 ; -13.717.203 ; 91.291.067 
1901;Bodegraven-Reeuwijk;8; 8.879.657 ; 4.337.015 ; 8.579.284 ; 11.990.376 ; 14.388.791 ; 5.287.712 ; 4.536.824 ; 9.118.992 ; 18.380.176 ; -00 ; -6.607.241 ; -10.376.985 ; 68.514.602 
502;Capelle aan den IJssel;8; 21.474.752 ; 18.394.581 ; 19.739.806 ; 32.455.955 ; 26.461.519 ; 13.503.453 ; 13.026.725 ; 20.003.318 ; 25.055.357 ; 3.179.540 ; -12.185.635 ; -16.927.155 ; 164.182.216 
503;Delft;8; 37.609.893 ; 29.742.741 ; 29.582.762 ; 43.699.071 ; 43.493.947 ; 23.529.689 ; 19.392.327 ; 40.534.295 ; 47.294.272 ; -00 ; -19.563.535 ; -31.482.494 ; 263.832.968 
505;Dordrecht;8; 40.527.470 ; 39.405.160 ; 41.894.920 ; 63.137.908 ; 46.960.656 ; 22.409.135 ; 24.577.356 ; 50.022.086 ; 43.270.162 ; -00 ; -21.805.014 ; -34.721.449 ; 315.678.390 
1924;Goeree-Overflakkee;8; 11.846.060 ; 7.210.104 ; 15.239.745 ; 20.411.031 ; 20.547.366 ; 7.835.366 ; 8.341.035 ; 13.202.809 ; 22.976.586 ; 642.554 ; -9.266.545 ; -15.496.731 ; 103.489.380 
512;Gorinchem;8; 11.502.912 ; 9.782.885 ; 12.134.206 ; 20.093.784 ; 15.289.420 ; 6.562.335 ; 9.720.476 ; 13.835.066 ; 14.187.133 ; -00 ; -6.897.215 ; -11.226.337 ; 94.984.666 
513;Gouda;8; 23.824.175 ; 19.154.211 ; 23.396.684 ; 35.057.892 ; 29.447.827 ; 13.398.672 ; 16.955.268 ; 28.439.491 ; 40.641.567 ; -00 ; -13.586.671 ; -19.050.429 ; 197.678.687 
523;Hardinxveld-Giessendam;8; 4.477.841 ; 2.763.929 ; 4.710.895 ; 8.301.713 ; 7.725.623 ; 2.310.431 ; 2.748.535 ; 5.070.777 ; 7.244.439 ; -00 ; -3.395.691 ; -4.732.351 ; 37.226.140 
531;Hendrik-Ido-Ambacht;8; 8.508.321 ; 4.518.344 ; 5.884.489 ; 11.035.303 ; 12.725.288 ; 4.349.477 ; 4.248.769 ; 9.099.046 ; 10.238.100 ; 815.583 ; -5.834.807 ; -7.686.663 ; 57.901.250 
534;Hillegom;8; 5.582.677 ; 3.240.139 ; 6.074.354 ; 9.205.727 ; 9.231.980 ; 3.162.278 ; 2.999.120 ; 5.932.582 ; 8.001.732 ; -00 ; -4.046.134 ; -6.625.036 ; 42.759.420 
1963;Hoeksche Waard;8; 20.648.880 ; 11.521.490 ; 24.546.987 ; 33.227.634 ; 34.091.724 ; 11.900.517 ; 12.383.444 ; 22.250.606 ; 31.863.950 ; -00 ; -16.114.040 ; -24.571.325 ; 161.749.866 
1884;Kaag en Braassem;8; 6.792.335 ; 3.746.896 ; 7.219.084 ; 10.203.688 ; 11.588.041 ; 4.150.422 ; 3.304.976 ; 7.160.599 ; 12.576.337 ; -1.006.267 ; -5.205.673 ; -8.338.382 ; 52.192.057 
537;Katwijk;8; 18.194.261 ; 10.458.824 ; 18.177.316 ; 28.455.529 ; 25.408.318 ; 8.801.964 ; 10.329.705 ; 21.754.746 ; 17.040.840 ; -00 ; -11.913.064 ; -17.897.233 ; 128.811.207 
542;Krimpen aan den IJssel;8; 7.589.523 ; 6.314.037 ; 9.655.089 ; 13.341.160 ; 11.750.970 ; 4.346.055 ; 4.481.535 ; 7.527.268 ; 11.029.094 ; -00 ; -5.290.374 ; -6.861.841 ; 63.882.518 
1931;Krimpenerwaard;8; 13.099.071 ; 8.728.730 ; 15.325.290 ; 23.203.703 ; 21.893.768 ; 7.797.279 ; 8.582.169 ; 14.125.677 ; 30.433.571 ; -1.485.557 ; -10.263.251 ; -14.705.422 ; 116.735.027 
1621;Lansingerland;8; 17.086.763 ; 6.756.403 ; 9.703.788 ; 18.558.858 ; 24.683.625 ; 8.882.459 ; 11.547.129 ; 18.044.676 ; 22.505.496 ; 2.904.557 ; -11.731.053 ; -21.597.316 ; 107.345.385 
546;Leiden;8; 45.423.049 ; 32.107.426 ; 37.448.563 ; 53.303.302 ; 51.387.813 ; 26.746.989 ; 22.785.622 ; 54.964.906 ; 53.842.766 ; -00 ; -23.197.526 ; -42.052.775 ; 312.760.134 
547;Leiderdorp;8; 7.522.908 ; 4.031.159 ; 7.464.611 ; 8.932.277 ; 11.163.846 ; 4.429.300 ; 4.054.561 ; 7.270.892 ; 9.368.955 ; 1.243.812 ; -4.927.774 ; -7.217.478 ; 53.337.069 
1916;Leidschendam-Voorburg;8; 23.825.653 ; 17.293.146 ; 23.583.232 ; 29.130.560 ; 30.444.508 ; 14.609.572 ; 12.892.150 ; 22.744.361 ; 24.912.363 ; 1.414.810 ; -13.907.009 ; -21.607.130 ; 165.336.216 
553;Lisse;8; 5.730.702 ; 3.263.688 ; 7.263.047 ; 10.271.216 ; 9.524.184 ; 3.363.572 ; 3.564.696 ; 6.113.220 ; 7.566.793 ; -00 ; -4.187.480 ; -7.139.552 ; 45.334.084 
556;Maassluis;8; 10.544.658 ; 8.416.513 ; 11.079.411 ; 16.519.477 ; 14.353.174 ; 6.320.544 ; 6.708.211 ; 10.848.018 ; 9.827.663 ; 53.181 ; -6.469.979 ; -8.342.917 ; 79.857.954 
1842;Midden-Delfland;8; 4.549.110 ; 2.002.851 ; 3.849.934 ; 5.170.498 ; 7.892.390 ; 2.635.068 ; 2.179.352 ; 4.412.364 ; 8.508.726 ; -00 ; -3.448.962 ; -6.501.643 ; 31.249.687 
