1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
93;Terschelling;2; 1.265.790 ; 350.676 ; 2.085.124 ; 1.884.061 ; 2.832.572 ; 948.110 ; 738.522 ; 1.357.875 ; 3.983.227 ; 1.256.896 ; -874.182 ; -2.387.457 ; 13.441.213 
737;Tytsjerksteradiel;2; 7.672.715 ; 6.996.047 ; 10.828.520 ; 15.340.242 ; 12.884.419 ; 4.435.545 ; 4.951.488 ; 8.628.225 ; 13.180.307 ; -00 ; -5.828.059 ; -7.014.882 ; 72.074.567 
96;Vlieland;2; 310.241 ; 158.816 ; 547.692 ; 873.658 ; 1.314.660 ; 336.451 ; 255.678 ; 322.589 ; 2.078.748 ; 216.150 ; -216.104 ; -687.301 ; 5.511.279 
1949;Waadhoeke;2; 11.026.605 ; 10.743.677 ; 15.660.630 ; 25.191.829 ; 18.101.061 ; 6.684.374 ; 7.453.755 ; 13.136.460 ; 20.993.362 ; -00 ; -8.320.446 ; -9.223.086 ; 111.448.222 
98;Weststellingwerf;2; 6.703.437 ; 5.806.641 ; 10.544.734 ; 15.295.896 ; 10.626.503 ; 3.476.153 ; 4.331.486 ; 7.808.202 ; 13.001.259 ; -1.967.606 ; -4.722.680 ; -5.951.049 ; 64.952.976 
1680;Aa en Hunze;3; 5.780.832 ; 3.995.874 ; 8.553.842 ; 9.581.656 ; 10.509.361 ; 3.375.621 ; 3.519.901 ; 6.218.526 ; 13.624.787 ; -00 ; -4.605.305 ; -6.292.162 ; 54.262.932 
106;Assen;3; 21.518.231 ; 21.555.675 ; 25.291.034 ; 40.405.466 ; 27.190.732 ; 10.273.325 ; 13.059.308 ; 28.076.156 ; 18.998.270 ; 3.115.084 ; -12.499.581 ; -16.221.337 ; 180.762.361 
1681;Borger-Odoorn;3; 5.823.797 ; 5.068.980 ; 8.873.892 ; 12.106.113 ; 10.459.241 ; 3.512.351 ; 3.720.679 ; 6.274.560 ; 14.393.346 ; -69.936 ; -4.625.548 ; -6.453.626 ; 59.083.850 
109;Coevorden;3; 8.745.188 ; 8.040.409 ; 12.933.887 ; 17.456.348 ; 14.164.159 ; 5.138.034 ; 5.629.440 ; 10.381.664 ; 16.872.881 ; -00 ; -6.367.698 ; -8.660.037 ; 84.334.275 
1690;De Wolden;3; 5.540.853 ; 2.995.967 ; 7.516.059 ; 9.420.778 ; 9.887.078 ; 3.207.043 ; 3.172.097 ; 6.118.564 ; 11.717.130 ; -58.328 ; -4.381.033 ; -6.220.605 ; 48.915.603 
114;Emmen;3; 29.931.257 ; 35.785.697 ; 44.774.637 ; 70.263.240 ; 41.416.929 ; 15.255.871 ; 19.388.663 ; 37.250.820 ; 36.195.670 ; -419.270 ; -19.475.637 ; -23.583.181 ; 286.784.697 
118;Hoogeveen;3; 16.057.765 ; 14.571.439 ; 23.222.567 ; 35.772.848 ; 21.878.574 ; 8.001.757 ; 10.685.974 ; 20.013.647 ; 18.698.905 ; -770.710 ; -10.104.858 ; -13.229.914 ; 144.797.995 
119;Meppel;3; 10.271.632 ; 8.255.973 ; 12.189.393 ; 19.387.511 ; 14.285.181 ; 5.062.570 ; 6.589.441 ; 13.451.428 ; 11.184.508 ; 1.155.995 ; -6.440.679 ; -8.933.706 ; 86.459.247 
1731;Midden-Drenthe;3; 7.933.875 ; 5.797.154 ; 10.922.712 ; 14.543.336 ; 13.463.500 ; 4.454.290 ; 4.756.644 ; 8.983.539 ; 17.186.108 ; -00 ; -6.041.145 ; -8.896.537 ; 73.103.477 
1699;Noordenveld;3; 7.555.138 ; 5.724.501 ; 11.710.638 ; 13.947.765 ; 12.623.813 ; 4.027.914 ; 4.575.666 ; 8.738.009 ; 12.804.384 ; -00 ; -5.638.058 ; -9.361.986 ; 66.707.784 
1730;Tynaarlo;3; 8.052.825 ; 5.216.173 ; 9.510.205 ; 11.395.556 ; 13.706.472 ; 4.332.567 ; 4.068.859 ; 9.089.469 ; 12.517.081 ; 2.931.422 ; -6.216.940 ; -8.865.297 ; 65.738.392 
1701;Westerveld;3; 4.467.904 ; 3.253.872 ; 7.851.187 ; 8.148.930 ; 8.292.114 ; 2.821.546 ; 2.910.871 ; 4.777.956 ; 11.517.117 ; -00 ; -3.548.402 ; -5.533.945 ; 44.959.150 
141;Almelo;4; 23.931.798 ; 26.545.123 ; 28.939.053 ; 48.072.652 ; 28.631.991 ; 12.257.968 ; 16.630.319 ; 30.504.196 ; 23.106.178 ; -00 ; -13.278.052 ; -21.226.209 ; 204.115.016 
147;Borne;4; 6.240.829 ; 3.729.267 ; 6.739.836 ; 10.439.998 ; 9.844.898 ; 3.014.538 ; 2.926.214 ; 7.362.586 ; 6.557.105 ; -00 ; -4.393.285 ; -5.680.577 ; 46.781.411 
148;Dalfsen;4; 7.004.911 ; 3.500.996 ; 7.915.103 ; 11.741.409 ; 11.755.980 ; 3.502.215 ; 3.897.443 ; 8.090.623 ; 11.413.307 ; -00 ; -5.335.477 ; -8.117.140 ; 55.369.370 
150;Deventer;4; 32.765.662 ; 29.976.100 ; 34.491.656 ; 58.315.530 ; 39.679.244 ; 16.501.165 ; 17.709.960 ; 42.263.769 ; 29.620.302 ; -00 ; -18.520.838 ; -27.988.581 ; 254.813.970 
1774;Dinkelland;4; 6.024.573 ; 2.995.895 ; 6.839.780 ; 9.250.778 ; 10.548.576 ; 3.279.401 ; 3.193.063 ; 7.077.590 ; 11.345.381 ; -00 ; -4.746.119 ; -7.394.161 ; 48.414.757 
153;Enschede;4; 54.362.404 ; 61.889.125 ; 59.665.686 ; 97.955.422 ; 62.211.936 ; 29.187.965 ; 30.735.692 ; 66.163.791 ; 47.561.454 ; -1.023.842 ; -28.822.799 ; -41.404.529 ; 438.482.305 
158;Haaksbergen;4; 6.272.260 ; 3.797.229 ; 8.498.615 ; 11.684.439 ; 9.741.908 ; 3.138.204 ; 3.486.374 ; 7.475.007 ; 9.396.412 ; -1.911.745 ; -4.301.659 ; -6.489.168 ; 50.787.876 
160;Hardenberg;4; 15.679.336 ; 11.586.385 ; 17.758.409 ; 29.935.397 ; 24.014.187 ; 7.891.166 ; 11.038.369 ; 18.862.630 ; 23.397.029 ; -00 ; -11.260.668 ; -16.942.919 ; 131.959.320 
163;Hellendoorn;4; 9.376.141 ; 6.045.776 ; 12.010.860 ; 17.876.275 ; 14.078.482 ; 4.259.432 ; 5.728.011 ; 12.055.462 ; 12.044.235 ; -1.275.823 ; -6.430.380 ; -9.016.846 ; 76.751.623 
164;Hengelo;4; 26.512.645 ; 24.592.447 ; 29.484.404 ; 48.319.289 ; 32.240.585 ; 13.860.862 ; 15.893.465 ; 32.096.885 ; 24.893.156 ; -2.106.824 ; -14.854.706 ; -22.219.045 ; 208.713.162 
1735;Hof van Twente;4; 8.321.111 ; 5.520.457 ; 11.982.741 ; 15.261.771 ; 13.937.410 ; 4.670.932 ; 4.538.002 ; 10.162.008 ; 14.588.066 ; -865.002 ; -6.332.183 ; -9.585.226 ; 72.200.085 
166;Kampen;4; 15.888.039 ; 11.079.208 ; 16.679.171 ; 30.543.702 ; 21.515.599 ; 7.263.294 ; 10.884.371 ; 21.413.638 ; 18.610.491 ; -1.937.434 ; -10.041.110 ; -14.256.670 ; 127.642.299 
168;Losser;4; 5.480.171 ; 4.043.841 ; 6.975.105 ; 10.851.286 ; 9.424.314 ; 3.018.887 ; 3.188.956 ; 6.169.717 ; 7.772.138 ; 627.648 ; -4.167.415 ; -5.408.479 ; 47.976.169 
173;Oldenzaal;4; 8.829.827 ; 6.142.882 ; 11.910.200 ; 16.999.910 ; 12.713.568 ; 4.552.791 ; 5.791.694 ; 11.118.847 ; 10.320.521 ; -759.317 ; -5.686.002 ; -8.858.694 ; 73.076.228 
1773;Olst-Wijhe;4; 4.313.366 ; 2.890.427 ; 4.895.127 ; 7.606.944 ; 7.757.892 ; 2.282.687 ; 2.450.754 ; 4.800.609 ; 7.151.828 ; 1.003.156 ; -3.374.383 ; -4.515.815 ; 37.262.593 
175;Ommen;4; 4.762.021 ; 3.087.508 ; 6.258.134 ; 8.024.841 ; 7.925.052 ; 2.255.009 ; 4.445.245 ; 5.793.574 ; 9.494.729 ; -839.676 ; -3.418.065 ; -5.651.494 ; 42.136.880 
177;Raalte;4; 9.361.378 ; 5.337.985 ; 11.825.872 ; 17.181.383 ; 14.959.703 ; 4.742.346 ; 6.285.672 ; 11.102.242 ; 13.685.101 ; -00 ; -6.858.326 ; -10.453.645 ; 77.169.711 
1742;Rijssen-Holten;4; 10.184.828 ; 5.220.684 ; 10.745.871 ; 17.878.637 ; 14.941.871 ; 4.814.568 ; 7.034.478 ; 13.014.630 ; 12.443.567 ; -00 ; -6.896.149 ; -9.784.273 ; 79.598.710 
